"J","FPU","LND","RIQFPU","Val"
"jbarl","EME_EGY","arf","YLD",3.90528845687041
"jbarl","EME_ISR","air","QS",9.97869918011263
"jbarl","EME_ISR","air","ARA",5.28272663554756
"jbarl","EME_ISR","air","YLD",1.88892968887805
"jbarl","EME_ISR","arf","QS",1.7260620968271
"jbarl","EME_ISR","arf","ARA",1.39394010105522
"jbarl","EME_ISR","arf","YLD",1.23826131088449
"jbarl","EME_JOR","air","QS",48.5262050244645
"jbarl","EME_JOR","air","ARA",29.1867648525765
"jbarl","EME_JOR","air","YLD",1.66260992849232
"jbarl","EME_JOR","arf","QS",15.3688132825629
"jbarl","EME_JOR","arf","ARA",13.76123573743
"jbarl","EME_JOR","arf","YLD",1.11681927232452
"jbarl","EME_LBN","air","QS",19.8276253208591
"jbarl","EME_LBN","air","ARA",7.64996742710825
"jbarl","EME_LBN","air","YLD",2.59185748302645
"jbarl","EME_LBN","arf","QS",10.505712715255
"jbarl","EME_LBN","arf","ARA",6.68336590622509
"jbarl","EME_LBN","arf","YLD",1.57191942842298
"jbarl","EME_PSE","air","QS",2.27803341432743
"jbarl","EME_PSE","air","ARA",0.581819869764337
"jbarl","EME_PSE","air","YLD",3.91535857180357
"jbarl","EME_PSE","arf","QS",10.3545533828349
"jbarl","EME_PSE","arf","ARA",4.82018016011746
"jbarl","EME_PSE","arf","YLD",2.14816729642374
"jbarl","EME_SYR","air","QS",1.40576456946397
"jbarl","EME_SYR","air","ARA",2.08822946709367
"jbarl","EME_SYR","air","YLD",0.673184911723551
"jbarl","EME_SYR","arf","QS",176.432277255138
"jbarl","EME_SYR","arf","ARA",272.594850628448
"jbarl","EME_SYR","arf","YLD",0.647232612238956
"jbarl","EME_TUR","air","QS",560.924276494247
"jbarl","EME_TUR","air","ARA",177.926660036848
"jbarl","EME_TUR","air","YLD",3.15255890476493
"jbarl","EME_TUR","arf","QS",2555.0740459315
"jbarl","EME_TUR","arf","ARA",1114.52761222024
"jbarl","EME_TUR","arf","YLD",2.29251749164075
"jbarl","FNP_FNP","air","QS",91.0764157937811
"jbarl","FNP_FNP","air","ARA",24.9434555519863
"jbarl","FNP_FNP","air","YLD",3.65131509561547
"jbarl","FNP_FNP","arf","QS",1198.85300289451
"jbarl","FNP_FNP","arf","ARA",358.063217625097
