"JJJ","CTY","RIQ","Val"
"jbeef","ETH","QD",410.873896770765
"jbeef","ETH","QF",410.873896770765
"jbeef","ETH","QE",14.7960835356068
"jbeef","ETH","QN",14.7960835356068
"jbeef","ETH","ARA",3919.12670898438
"jbeef","ETH","YLD",0.108613477418463
"jbeef","FJI","QS",3.40067449128496
"jbeef","FJI","QD",3.66665762483612
"jbeef","FJI","QF",3.66665762483612
"jbeef","FJI","QM",0.265983133551164
"jbeef","FJI","QN",-0.265983133551164
"jbeef","FJI","ARA",17.9666665395101
"jbeef","FJI","YLD",0.189276874694959
"jbeef","FNP","QS",85.9860850612388
"jbeef","FNP","QD",100.325048144951
"jbeef","FNP","QF",100.325048144951
"jbeef","FNP","QM",14.3389630837126
"jbeef","FNP","QN",-14.3389630837126
"jbeef","FNP","ARA",262.006663004557
"jbeef","FNP","YLD",0.328182818235211
"jbeef","FRP","QS",1408.23391655508
"jbeef","FRP","QD",1488.65658324792
"jbeef","FRP","QF",1488.65658324792
"jbeef","FRP","QM",80.4226666928383
"jbeef","FRP","QN",-80.4226666928383
"jbeef","FRP","ARA",4401.67333984375
"jbeef","FRP","YLD",0.319931491464352
"jbeef","GAB","QS",0.892654214576827
"jbeef","GAB","QD",11.6665183118094
"jbeef","GAB","QF",11.6665183118094
"jbeef","GAB","QM",10.7738640972326
"jbeef","GAB","QN",-10.7738640972326
"jbeef","GAB","ARA",7.99799982706706
"jbeef","GAB","YLD",0.111609681655141
"jbeef","GEO","QS",21.4670433513147
"jbeef","GEO","QD",25.3328085504463
"jbeef","GEO","QF",25.3328085504463
"jbeef","GEO","QM",3.86576519913153
"jbeef","GEO","QN",-3.86576519913153
"jbeef","GEO","ARA",253.625666300456
"jbeef","GEO","YLD",0.0846406582758228
"jbeef","GHA","QS",29.6315314651076
"jbeef","GHA","QD",51.3307379732486
"jbeef","GHA","QF",51.3307379732486
"jbeef","GHA","QM",21.699206508141
"jbeef","GHA","QN",-21.699206508141
"jbeef","GHA","ARA",285.973663330078
"jbeef","GHA","YLD",0.103616295011426
"jbeef","GIN","QS",67.4385030556058
"jbeef","GIN","QD",87.6601834154216
"jbeef","GIN","QF",87.6601834154216
"jbeef","GIN","QM",20.2216803598158
"jbeef","GIN","QN",-20.2216803598158
"jbeef","GIN","ARA",618.666666666667
"jbeef","GIN","YLD",0.109006201059708
"jbeef","GMB","QS",2.42179604388851
"jbeef","GMB","QD",7.33327758638887
"jbeef","GMB","QF",7.33327758638887
"jbeef","GMB","QM",4.91148154250036
"jbeef","GMB","QN",-4.91148154250036
"jbeef","GMB","ARA",20.1813335418701
"jbeef","GMB","YLD",0.12000178476135
"jbeef","GNB","QS",7.52913173457991
"jbeef","GNB","QD",7.66662331804858
"jbeef","GNB","QF",7.66662331804858
"jbeef","GNB","QM",0.137491583468671
"jbeef","GNB","QN",-0.137491583468671
"jbeef","GNB","ARA",64.9063351949056
