"SCENARIO","CTY","YRS","Val"
"IIASA_ssp1","BEN","2046",0.0126355772018316
"IIASA_ssp1","BEN","2047",0.0122260020037683
"IIASA_ssp1","BEN","2048",0.0117928049322097
"IIASA_ssp1","BEN","2049",0.0113432078852812
"IIASA_ssp1","BEN","2050",-1
"IIASA_ssp1","BFA","2005",0.0317173877120035
"IIASA_ssp1","BFA","2006",0.0307924744074762
"IIASA_ssp1","BFA","2007",0.0298731984402871
"IIASA_ssp1","BFA","2008",0.0297479292389779
"IIASA_ssp1","BFA","2009",0.0298289366567326
"IIASA_ssp1","BFA","2010",0.0301427791853797
"IIASA_ssp1","BFA","2011",0.0307830950977923
"IIASA_ssp1","BFA","2012",0.0305412626964924
"IIASA_ssp1","BFA","2013",0.0302462392071628
"IIASA_ssp1","BFA","2014",0.0301696065884993
"IIASA_ssp1","BFA","2015",0.0297829853206428
"IIASA_ssp1","BFA","2016",0.0290711295760032
"IIASA_ssp1","BFA","2017",0.0280736273653099
"IIASA_ssp1","BFA","2018",0.0274076198651841
"IIASA_ssp1","BFA","2019",0.0133760895746627
"IIASA_ssp1","BFA","2020",0.0251354919416028
"IIASA_ssp1","BFA","2021",0.0241748846940056
"IIASA_ssp1","BFA","2022",0.0232608987434992
"IIASA_ssp1","BFA","2023",0.0224023652503891
"IIASA_ssp1","BFA","2024",0.0216055092015987
"IIASA_ssp1","BFA","2025",0.02087991752578
"IIASA_ssp1","BFA","2026",0.0202313411361424
"IIASA_ssp1","BFA","2027",0.0196617825700647
"IIASA_ssp1","BFA","2028",0.0191710026195343
"IIASA_ssp1","BFA","2029",0.0187474515432089
"IIASA_ssp1","BFA","2030",0.0183666717191097
"IIASA_ssp1","BFA","2031",0.0179978186886112
"IIASA_ssp1","BFA","2032",0.0176068136684308
"IIASA_ssp1","BFA","2033",0.0171758544268012
"IIASA_ssp1","BFA","2034",0.0167236092347526
"IIASA_ssp1","BFA","2035",0.0162682228661613
"IIASA_ssp1","BFA","2036",0.015843703418555
"IIASA_ssp1","BFA","2037",0.0154724992657132
"IIASA_ssp1","BFA","2038",0.0151671927238207
"IIASA_ssp1","BFA","2039",0.0149029509378418
"IIASA_ssp1","BFA","2040",0.0146471288062072
"IIASA_ssp1","BFA","2041",0.01436510824943
"IIASA_ssp1","BFA","2042",0.0140429149290843
"IIASA_ssp1","BFA","2043",0.0136673231775327
"IIASA_ssp1","BFA","2044",0.0132500206553544
"IIASA_ssp1","BFA","2045",0.012827339196089
"IIASA_ssp1","BFA","2046",0.0124023230777488
"IIASA_ssp1","BFA","2047",0.011943057404711
"IIASA_ssp1","BFA","2048",0.0114429607314505
"IIASA_ssp1","BFA","2049",0.0109180228214962
"IIASA_ssp1","BFA","2050",-1
"IIASA_ssp1","BGD","2005",0.012179475986423
"IIASA_ssp1","BGD","2006",0.0105666083738708
"IIASA_ssp1","BGD","2007",0.00891785944232354
"IIASA_ssp1","BGD","2008",0.00883977684757318
"IIASA_ssp1","BGD","2009",0.0114809223920829
"IIASA_ssp1","BGD","2010",0.0122639802223505
"IIASA_ssp1","BGD","2011",0.012513357418408
"IIASA_ssp1","BGD","2012",0.0127521974978482
