"C","J","CTY","Val"
"csnfl","jsfolt","IRN",-0.5
"csnfl","jsfolt","IRQ",-0.5
"csnfl","jsfolt","ISR",-0.5
"csnfl","jsfolt","ITP",-0.5
"csnfl","jsfolt","KEN",-0.5
"csnfl","jsfolt","MEX",-0.5
"csnfl","jsfolt","MOR",-0.5
"csnfl","jsfolt","MOZ",-0.5
"csnfl","jsfolt","PAK",-0.5
"csnfl","jsfolt","POL",-0.5
"csnfl","jsfolt","PRT",-0.5
"csnfl","jsfolt","PRY",-0.5
"csnfl","jsfolt","SPP",-0.5
"csnfl","jsfolt","TJK",-0.5
"csnfl","jsfolt","TUN",-0.5
"csnfl","jsfolt","URY",-0.5
"csnfl","jsfolt","UZB",-0.5
"csnfl","jsfolt","VEN",-0.5
"csfnt","jsfoln","AFG",-0.5
"csfnt","jsfoln","AGO",-0.5
"csfnt","jsfoln","ALB",-0.5
"csfnt","jsfoln","ARG",-0.5
"csfnt","jsfoln","AUS",-0.5
"csfnt","jsfoln","AUT",-0.5
"csfnt","jsfoln","AZE",-0.5
"csfnt","jsfoln","BGR",-0.5
"csfnt","jsfoln","BLR",-0.5
"csfnt","jsfoln","BLX",-0.5
"csfnt","jsfoln","BOL",-0.5
"csfnt","jsfoln","BRA",-0.5
"csfnt","jsfoln","CAN",-0.5
"csfnt","jsfoln","CHL",-0.5
"csfnt","jsfoln","CHM",-0.5
"csfnt","jsfoln","CHP",-0.5
"csfnt","jsfoln","CZE",-0.5
"csfnt","jsfoln","DEU",-0.5
"csfnt","jsfoln","DZA",-0.5
"csfnt","jsfoln","EGY",-0.5
"csfnt","jsfoln","FRP",-0.5
"csfnt","jsfoln","GEO",-0.5
"csfnt","jsfoln","GRC",-0.5
"csfnt","jsfoln","HRV",-0.5
"csfnt","jsfoln","HUN",-0.5
"csfnt","jsfoln","IND",-0.5
"csfnt","jsfoln","IRN",-0.5
"csfnt","jsfoln","IRQ",-0.5
"csfnt","jsfoln","ISR",-0.5
"csfnt","jsfoln","ITP",-0.5
"csfnt","jsfoln","KAZ",-0.5
"csfnt","jsfoln","KEN",-0.5
